playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8476374,2023,Sean Kuraly,CBJ,C,62,851.58,1114,92,167,18,9,9,7,2,0,0,0,1,0,1,34,156,16,16,272,293,20,40,15,30
8478460,2023,Zach Werenski,CBJ,D,70,1711.6,1748,202,442,57,11,46,19,27,12,2,10,0,0,0,130,23,35,26,0,0,11,22,3,6
8478500,2023,Ivan Provorov,CBJ,D,82,1817.32,1969,107,239,32,5,27,13,14,6,0,6,0,0,0,155,66,22,40,0,0,10,20,10,20
8476432,2023,Boone Jenner,CBJ,C,58,1165.57,1356,155,287,35,22,13,5,8,7,5,2,0,0,0,74,119,24,19,604,509,14,28,14,28
8480871,2023,Adam Boqvist,CBJ,D,35,639.92,720,45,121,10,1,9,5,4,3,0,3,0,0,0,42,11,7,16,0,0,0,0,4,8
8476456,2023,Jonathan Huberdeau,CGY,C,81,1411.18,1787,143,279,52,12,40,26,14,17,4,13,0,0,0,37,60,52,66,15,16,18,39,19,38
8477851,2023,Jordan Oesterle,CGY,D,22,297.38,427,18,44,2,0,2,2,0,0,0,0,0,0,0,33,22,4,6,0,0,2,4,2,4
8479291,2023,Kevin Rooney,CGY,C,33,370.12,539,27,45,4,3,1,0,1,0,0,0,0,0,0,29,64,8,9,97,111,1,2,5,10
8482679,2023,Matt Coronato,CGY,R,34,428.78,555,58,113,9,3,6,4,2,1,1,0,0,0,0,7,7,16,14,5,14,3,6,4,8
8482165,2023,Yan Kuznetsov,CGY,D,1,11.97,16,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8482470,2023,Ilya Solovyov,CGY,D,10,158.95,219,10,25,3,0,3,1,2,0,0,0,1,0,1,17,12,0,3,0,0,2,4,0,0
8475172,2023,Nazem Kadri,CGY,C,82,1510.92,1798,277,524,75,29,46,28,18,19,9,10,0,0,0,24,57,56,70,593,617,19,43,39,81
8478397,2023,Rasmus Andersson,CGY,D,78,1858.45,2409,159,340,39,9,30,14,16,7,0,7,1,1,0,186,42,31,60,0,0,17,37,15,30
8481028,2023,Martin Pospisil,CGY,C,63,801.33,1140,117,202,24,8,16,8,8,0,0,0,0,0,0,22,238,26,23,23,28,34,77,21,42
8477810,2023,Joel Hanley,CGY,D,42,583.6,840,19,66,5,1,4,2,2,0,0,0,0,0,0,47,48,2,11,0,0,13,30,3,12
8474150,2023,Mikael Backlund,CGY,C,82,1577.23,2039,209,391,39,15,24,20,4,3,2,1,2,1,1,33,70,61,56,778,769,12,24,11,22
8478211,2023,Dryden Hunt,CGY,L,28,311.62,428,33,56,8,3,5,4,1,0,0,0,0,0,0,6,73,14,8,2,3,2,7,8,19
8476399,2023,Blake Coleman,CGY,C,78,1336.38,1770,192,345,54,30,24,10,14,3,3,0,5,3,2,57,128,43,34,31,38,30,66,26,56
8481537,2023,Nikita Okhotiuk,CGY,D,52,827.45,1040,52,133,9,1,8,4,4,0,0,0,0,0,0,80,147,13,31,0,0,14,28,3,6
8478502,2023,Dennis Gilbert,CGY,D,34,417.63,630,23,54,7,1,6,0,6,0,0,0,0,0,0,49,59,5,10,0,0,5,16,5,16
8481655,2023,Cole Schwindt,CGY,R,4,27.17,40,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,2,1,2,0,0
8483808,2023,Andrei Kuzmenko,CGY,L,72,1071.67,1306,121,265,46,22,24,13,11,18,7,11,0,0,0,17,14,27,24,1,0,5,12,15,30
8481068,2023,Yegor Sharangovich,CGY,C,82,1419.82,1747,179,372,59,31,28,18,10,16,5,11,7,3,4,44,13,35,39,133,208,4,8,11,22
8478233,2023,Andrew Mangiapane,CGY,L,75,1199.65,1613,122,271,40,14,26,17,9,3,2,1,1,1,0,33,89,24,29,5,5,17,37,11,22
8481592,2023,Jakob Pelletier,CGY,L,13,120.52,182,9,18,3,1,2,0,2,0,0,0,0,0,0,3,10,5,3,4,4,1,2,0,0
8482652,2023,Walker Duehr,CGY,R,40,324.67,501,29,62,7,2,5,4,1,0,0,0,0,0,0,13,67,3,8,1,5,3,6,2,4
8482624,2023,Daniil Miromanov,CGY,D,24,497.33,628,46,112,7,3,4,2,2,2,0,2,0,0,0,34,7,9,14,0,0,4,8,1,2
8483609,2023,Adam Klapka,CGY,R,6,40.57,60,4,6,1,1,0,0,0,0,0,0,0,0,0,3,21,1,1,0,1,3,9,2,7
8478421,2023,A.J. Greer,CGY,L,59,521.07,733,57,111,12,6,6,3,3,1,1,0,0,0,0,24,100,18,16,4,4,13,35,11,31
8481167,2023,Brayden Pachal,CGY,D,50,733.83,1030,52,134,7,2,5,3,2,0,0,0,1,0,1,68,130,5,23,0,0,24,51,16,35
8482074,2023,Connor Zary,CGY,C,63,962.23,1214,90,175,34,14,20,11,9,4,1,3,0,0,0,29,29,16,27,48,61,11,22,17,36
8478430,2023,Oliver Kylington,CGY,D,33,569.18,823,42,105,8,3,5,1,4,0,0,0,0,0,0,51,24,13,23,0,0,6,12,0,0
8479346,2023,Dillon Dube,CGY,C,43,480.05,696,42,77,7,3,4,1,3,1,1,0,0,0,0,18,35,5,10,26,23,4,8,6,12
8477346,2023,MacKenzie Weegar,CGY,D,82,1880.28,2501,208,471,52,20,32,14,18,14,3,11,2,0,2,200,193,46,75,0,0,24,51,9,21
8476473,2023,Connor Murphy,CHI,D,46,912.27,1143,51,111,8,2,6,2,4,0,0,0,0,0,0,113,116,12,26,0,0,17,40,13,32
8475791,2023,Taylor Hall,CHI,L,10,163.3,177,20,44,4,2,2,2,0,1,0,1,0,0,0,3,7,5,3,6,3,2,4,1,2
8480798,2023,Philipp Kurashev,CHI,C,75,1426.38,1476,128,280,54,18,36,26,10,15,4,11,0,0,0,48,27,43,28,127,147,10,23,12,24
8477034,2023,Jaycob Megna,CHI,D,44,771.02,997,28,71,2,0,2,0,2,0,0,0,0,0,0,87,60,12,27,0,0,11,22,1,2
8484144,2023,Connor Bedard,CHI,C,68,1345.27,1333,206,401,61,22,39,28,11,17,3,14,0,0,0,27,54,47,57,207,325,14,28,25,54
8482807,2023,Ethan Del Mastro,CHI,D,2,37.15,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
8481806,2023,Louis Crevier,CHI,D,24,376.4,520,18,42,3,0,3,1,2,0,0,0,0,0,0,50,30,4,9,0,0,2,4,0,0
8479390,2023,Taylor Raddysh,CHI,R,73,1159.45,1378,120,220,14,5,9,4,5,3,1,2,0,0,0,28,84,43,29,19,38,11,22,6,12
8476960,2023,Andreas Athanasiou,CHI,C,28,366.73,456,44,80,9,2,7,4,3,2,0,2,0,0,0,21,11,19,7,76,88,2,7,6,15
8480025,2023,MacKenzie Entwistle,CHI,R,67,762.93,959,66,127,11,5,6,2,4,0,0,0,0,0,0,32,138,29,12,172,221,14,37,14,35
8478881,2023,Brett Seney,CHI,L,4,41.38,60,1,3,0,0,0,0,0,0,0,0,0,0,0,6,9,0,5,4,8,3,6,1,2
8480252,2023,Cole Guttman,CHI,C,27,340.73,409,50,85,8,4,4,1,3,3,2,1,0,0,0,14,11,14,10,60,60,2,7,7,17
8479315,2023,Joey Anderson,CHI,R,55,745.13,997,57,106,17,5,12,10,2,0,0,0,0,0,0,18,48,30,20,0,2,4,8,3,6
8482176,2023,Wyatt Kaiser,CHI,D,32,554,681,18,57,7,0,7,1,6,0,0,0,0,0,0,46,22,7,23,0,0,11,22,6,12
8482192,2023,Isaak Phillips,CHI,D,33,563.4,720,31,84,6,0,6,3,3,0,0,0,0,0,0,36,56,14,21,0,0,5,12,3,6
8479514,2023,Rem Pitlick,CHI,C,9,140.28,155,13,25,0,0,0,0,0,0,0,0,0,0,0,6,9,3,4,5,5,1,2,0,0
8477482,2023,Zachary Sanford,CHI,L,29,314.27,405,24,54,6,0,6,5,1,1,0,1,0,0,0,19,24,16,6,42,77,3,6,3,6
8482117,2023,Lukas Reichel,CHI,L,65,917.18,1098,84,136,16,5,11,7,4,2,2,0,0,0,0,25,27,33,35,86,112,6,12,7,14
8481568,2023,Alex Vlasic,CHI,D,76,1632.38,1905,71,168,16,2,14,5,9,2,0,2,0,0,0,148,56,60,47,0,0,13,35,10,29
8483493,2023,Frank Nazar,CHI,C,3,48.43,58,2,9,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,7,15,0,0,0,0
8476278,2023,Colin Blackwell,CHI,C,44,637.67,833,88,161,12,8,4,4,0,1,1,0,0,0,0,22,45,21,14,32,38,5,10,12,24
8477495,2023,Seth Jones,CHI,D,67,1707.45,1760,172,377,31,8,23,12,11,5,1,4,0,0,0,131,77,40,60,0,0,17,34,7,14
8481147,2023,Reese Johnson,CHI,C,42,459.18,579,51,88,5,2,3,0,3,0,0,0,0,0,0,16,109,7,9,42,39,9,30,17,46
8477987,2023,Ryan Donato,CHI,C,78,1091.93,1272,149,246,30,12,18,12,6,3,1,2,0,0,0,24,104,43,25,98,124,10,26,18,44
8477450,2023,Jason Dickinson,CHI,C,82,1358.82,1709,126,237,35,22,13,5,8,2,2,0,0,0,0,73,142,54,35,618,618,15,33,17,37
8474870,2023,Tyler Johnson,CHI,C,67,1041.08,1190,112,201,31,17,14,4,10,14,8,6,0,0,0,31,48,26,21,156,195,13,26,9,18
8482172,2023,Landon Slaggert,CHI,L,16,180.23,245,14,27,4,1,3,1,2,0,0,0,0,0,0,6,16,6,2,0,5,2,4,4,8
8473422,2023,Nick Foligno,CHI,L,74,1314.58,1531,146,225,37,17,20,8,12,14,7,7,1,1,0,39,192,47,26,228,207,24,57,18,45
8475797,2023,Jarred Tinordi,CHI,D,52,813.58,1054,32,78,9,0,9,6,3,0,0,0,1,0,1,94,170,4,23,0,0,23,64,11,40
8483466,2023,Kevin Korchinski,CHI,D,76,1490.85,1762,93,226,15,5,10,4,6,7,0,7,0,0,0,82,26,23,72,0,0,10,20,4,8
